Camera Deployment Name,Latitude,Longitude,Duration,American Beaver,American Black Bear,American Mink,American Red Squirrel,Animal Not On List,Bicycle,Blue Jay,Bobcat,Calibration Photos,Camera Misfire,Camera Trapper,Cotton Rat,Coyote,Crow or Raven,Domestic Cat,Domestic Cow,Domestic Dog,Domestic Horse,Eastern Chipmunk,Eastern Cottontail,Eastern Fox Squirrel,Eastern Gray Squirrel,Eastern Spotted Skunk,Eastern Woodrat,Fisher,Flying Squirrel species,Gray Fox,"Human, non staff",Long-tailed Weasel,No Animal,Northern Bobwhite,Northern Flying Squirrel,Northern Raccoon,Red Fox,River Otter,Ruffed Grouse,Southern Flying Squirrel,Striped Skunk,Time Lapse,Turkey Vulture,Unknown Animal,Unknown Bird,Unknown Canine,Unknown Carnivore,Unknown Feline,Unknown Fox,Unknown mouse or rat,Unknown Owl,Unknown Squirrel,Unknown Weasel,Vehicle,Virginia Opossum,White-tailed Deer,Wild Boar,Wild Turkey,Woodchuck
Mason Neck 6A,38.63512,-77.20687,22.78611111,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,22,0,0,0,0,24,0,0,0,0,0,83,0,2,0,0,6,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,2,53,0,3,0
Mason Neck 6B,38.63554,-77.20695,22.66944444,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,1,0,5,0,0,2,2,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,9,16,0,0,0
Mason Neck 6C,38.63637,-77.20691,22.75694444,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,4,0,0,2,5,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,6,36,0,7,0
Mason Neck 8A,38.64453,-77.18619,20.94583333,0,0,0,0,0,0,0,0,1,0,3,0,3,0,0,0,44,0,0,0,0,48,0,0,0,0,0,388,0,7,0,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Mason Neck 8B,38.64441,-77.18603,20.9375,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,2,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0
Mason Neck 8C,38.64548,-77.18596,20.9,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0
Mason Neck 9A,38.63239,-77.1909,22.10416667,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Mason Neck 9B,38.63281,-77.19071,22.10138889,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0
Mason Neck 9C,38.63388,-77.18998,22.10138889,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
McDowell 1,35.1111,-81.0083,22.94930556,0,0,0,0,0,0,0,0,0,0,2,0,23,0,0,0,0,0,0,2,0,16,0,0,0,0,0,0,0,32,0,0,10,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,3,11,0,0,0
McDowell 10,35.103,-81.0146,26.93611111,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,0,0,0,5,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,0,7,0
McDowell 11,35.0956,-81.0144,26.93680556,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
McDowell 12,35.1073,-81.014,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0
McDowell 2,35.1025,-81.0189,22.93333333,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,9,0,0,0,0,0,117,0,11,0,0,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
McDowell 3,35.1067,-81.0275,22.92986111,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,17,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
McDowell 4,35.1155,-81.0239,20.84583333,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
McDowell 6,35.1175,-81.0224,20.93541667,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
McDowell 7,35.1174,-81.0168,24.66180556,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0
McDowell 8,35.1102,-81.0201,27.05625,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,12,0,0,57,1,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,42,0,0,0
McDowell 9,35.0981,-81.0198,27.00277778,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0
McLean Hamlet Park Sm 183,38.93583,-77.22464,22.94930556,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,3,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
Merrimac Farm LG 193,38.6295,-77.54273,21.02013889,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,18,0,2,0
